36024_at,lacrimal proline rich protein
38535_at,distal-less homeobox 4
34532_at,Cluster Incl AF035318:Homo sapiens clone 23705 mRNA sequence /cds=UNKNOWN /gb=AF035318 /gi=2661081 /ug=Hs.12533 /len=1654
41636_at,KIAA0665 gene product
38401_s_at,Cluster Incl W27594:34h4 Homo sapiens cDNA /gb=W27594 /gi=1307542 /ug=Hs.8258 /len=702
391_at,"protein phosphatase 5, catalytic subunit"
166_at,G protein-coupled receptor 68
31990_at," Cluster Incl AF009624:Homo sapiens KIF3-related motor protein (KIF3X) mRNA, partial cds /cds=(0,730) /gb=AF009624 /gi=4102183 /ug=Hs.203897 /len=937 "
AFFX-hum_alu_at,U14573 Human Alu-Sq subfamily consensus sequence.
35941_f_at,kinesin family member 1C
1937_at,Retinoblastoma 1
32815_at," Cluster Incl AI687419:tp95h03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2207093 /clone_end=3'' /gb=AI687419 /gi=4898713 /ug=Hs.203410 /len=286'' "
34769_at,fatty acid amide hydrolase
34692_r_at,"actin related protein 2/3 complex, subunit 4 (20 kD)"
34907_at,apoptosis-associated tyrosine kinase
37238_s_at," Cluster Incl AF014118:Homo sapiens membrane-associated kinase (Myt1) mRNA, complete cds /cds=(326,1825) /gb=AF014118 /gi=2460022 /ug=Hs.77783 /len=1960 "
40107_at,"aldolase C, fructose-bisphosphate"
40317_at,"amiloride-sensitive cation channel 1, neuronal (degenerin)"
34067_at," Cluster Incl AL022314:dJ1170K4.2 (novel Trypsin family protein with class A LDL receptor domains) /cds=(0,853) /gb=AL022314 /gi=4090209 /ug=Hs.194750 /len=1463 "
1469_at,mitogen-activated protein kinase-activated protein kinase 2
32228_at,"adaptor-related protein complex 2, alpha 2 subunit"
41458_at,KIAA0467 protein
35377_at,DKFZP434M154 protein
35104_r_at,LIM domain only 1 (rhombotin 1)
2060_at,B-cell CLL/lymphoma 2
35112_at,regulator of G-protein signalling 9
720_at,heat shock transcription factor 4
38048_at,RNA-binding protein gene with multiple splicing
40324_r_at,Cluster Incl AF070585:Homo sapiens clone 24675 mRNA sequence /cds=UNKNOWN /gb=AF070585 /gi=3387958 /ug=Hs.66191 /len=2114
32907_at,5-hydroxytryptamine (serotonin) receptor 6
41817_g_at,hypothetical protein
32866_at,KIAA0605 gene product
37817_at,NY-REN-24 antigen
214_at,msh (Drosophila) homeo box homolog 1 (formerly homeo box 7)
1754_at,death-associated protein 6
31815_r_at,low density lipoprotein receptor-related protein 3
38710_at,Cluster Incl AL096714:Homo sapiens mRNA; cDNA DKFZp564E242 (from clone DKFZp564E242) /cds=UNKNOWN /gb=AL096714 /gi=5419847 /ug=Hs.108504 /len=1904
32691_s_at," Cluster Incl D86096:Human DNA for prostaglandin E receptor EP3 subtype /cds=(231,1595) /gb=D86096 /gi=2114187 /ug=Hs.170917 /len=1660 "
887_at,growth differentiation factor 1
32553_at,Cluster Incl M94046:Human zinc finger protein (MAZ) mRNA /cds=UNKNOWN /gb=M94046 /gi=187393 /ug=Hs.7647 /len=2389
37905_r_at,Cluster Incl X66436:H.sapiens hsr1 mRNA (partial) /cds=UNKNOWN /gb=X66436 /gi=32489 /ug=Hs.83147 /len=1980
36276_at,contactin 2 (axonal)
39448_r_at,Cluster Incl W27095:20c10 Homo sapiens cDNA /gb=W27095 /gi=1306467 /ug=Hs.155586 /len=773
41856_at,Cluster Incl AL049370:Homo sapiens mRNA; cDNA DKFZp586D0918 (from clone DKFZp586D0918) /cds=UNKNOWN /gb=AL049370 /gi=4500162 /ug=Hs.13350 /len=2705
39103_s_at," Cluster Incl H98552:yv97h03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-250709 /clone_end=3'' /gb=H98552 /gi=1123202 /ug=Hs.93127 /len=546'' "
39445_at,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3"
32492_g_at,dopamine receptor D3
38058_at,dermatopontin
39995_s_at,putative oxidoreductase
33768_at,dystrophia myotonica-containing WD repeat motif
34164_at," Cluster Incl R42599:yg02e11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-30849 /clone_end=3'' /gb=R42599 /gi=817360 /ug=Hs.234762 /len=471'' "
40507_at,"solute carrier family 2 (facilitated glucose transporter), member 1"
2028_s_at,E2F transcription factor 1
33034_at,"rhomboid (veinlet, Drosophila)-like"
40264_g_at,zinc finger protein-like 1
567_s_at,promyelocytic leukemia
34588_i_at,"amelogenin (X chromosome, amelogenesis imperfecta 1)"
38558_at,myelin associated glycoprotein
33211_at," Cluster Incl AW051889:wz04f05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2557089 /clone_end=3'' /gb=AW051889 /gi=5914248 /ug=Hs.98614 /len=603'' "
39855_at,Fzr1 protein
721_g_at,heat shock transcription factor 4
40138_at,"COP9 subunit 6 (MOV34 homolog, 34 kD)"
41151_at,SKIP for skeletal muscle and kidney enriched inositol phosphatase
35911_r_at,matrix metalloproteinase-like 1
32484_at,chemokine binding protein 2
32007_at,Cluster Incl W29045:55e12 Homo sapiens cDNA /gb=W29045 /gi=1309002 /ug=Hs.225039 /len=756
37437_at,KIAA0590 gene product
33640_at,nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
36004_at,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma"
40959_at,KIAA0599 protein
34906_g_at," Cluster Incl AA977136:oq24f02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1587291 /clone_end=3'' /gb=AA977136 /gi=3154582 /ug=Hs.128095 /len=583'' "
34108_g_at,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
38644_at,paxillin
34508_r_at," Cluster Incl AI971726:wr07a08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2480822 /clone_end=3'' /gb=AI971726 /gi=5768552 /ug=Hs.122708 /len=671'' "
31440_at,"transcription factor 7 (T-cell specific, HMG-box)"
33080_s_at,"RAP1, GTPase activating protein 1"
35939_s_at,"POU domain, class 4, transcription factor 1"
35996_at,ZW10 interactor anti-sense
35208_at,KIAA0874 protein
36298_at,peripherin
32592_at,KIAA0323 protein
121_at,paired box gene 8
41324_g_at,Cluster Incl U90917:Human clone 23641 mRNA sequence /cds=UNKNOWN /gb=U90917 /gi=1913898 /ug=Hs.239 /len=1301
396_f_at,erythropoietin receptor
32810_at,thiopurine S-methyltransferase
31861_at,immunoglobulin mu binding protein 2
37475_at," Cluster Incl AC004144:Homo sapiens chromosome 19, overlapping cosmids R28707 and R34001 /cds=(0,3023) /gb=AC004144 /gi=2887496 /ug=Hs.116244 /len=3024 "
32469_at,carcinoembryonic antigen-related cell adhesion molecule 3
39917_at," Cluster Incl AI961040:wq58f01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2475481 /clone_end=3'' /gb=AI961040 /gi=5753821 /ug=Hs.13386 /len=797'' "
41584_at,nudix (nucleoside diphosphate linked moiety X)-type motif 3
34089_at,KIAA1030 protein
39868_at," Cluster Incl AL046394:DKFZp434M217_r1 Homo sapiens cDNA, 5 end /clone=DKFZp434M217 /clone_end=5'' /gb=AL046394 /gi=5434470 /ug=Hs.121241 /len=816'' "
36375_at,outer dense fibre of sperm tails 1
34573_at,ephrin-A3
34231_at,histone acetyltransferase
40089_at,putative methyltransferase
32701_at,armadillo repeat gene deletes in velocardiofacial syndrome
35485_at,"glutamate receptor, metabotropic 4"
33779_at,vesicle-associated membrane protein 1 (synaptobrevin 1)
40336_at,ferredoxin reductase
35534_at,KIAA0514 gene product
36907_at,mevalonate kinase (mevalonic aciduria)
33470_at,Cluster Incl AF052177:Homo sapiens clone 24510 mRNA sequence /cds=UNKNOWN /gb=AF052177 /gi=3360488 /ug=Hs.26419 /len=1272
37270_at,"ATPase, Na+/K+ transporting, beta 2 polypeptide"
40819_at," Cluster Incl AA161065:zl50h04.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-505399 /clone_end=5'' /gb=AA161065 /gi=1735497 /ug=Hs.172643 /len=638'' "
32557_at," Cluster Incl AI762438:wg57a07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2369172 /clone_end=3'' /gb=AI762438 /gi=5178105 /ug=Hs.7655 /len=761'' "
1415_at," D26561 /FEATURE=cds#3 /DEFINITION=D26561 Homo sapiens cellular DNA containing a segment of Human papilloma virus type 5b, partial and complete cds "
31535_i_at,Cluster Incl W27858:39e3 Homo sapiens cDNA /gb=W27858 /gi=1307869 /ug=Hs.186617 /len=821
36337_at," Cluster Incl AI760801:wi67f11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2398413 /clone_end=3'' /gb=AI760801 /gi=5176468 /ug=Hs.153325 /len=484'' "
40295_at,copine VI (neuronal)
36592_at,prohibitin
33027_at,Cluster Incl W27906:39d11 Homo sapiens cDNA /gb=W27906 /gi=1307854 /ug=Hs.136148 /len=821
37744_r_at,fasciculation and elongation protein zeta 1 (zygin I)
31700_at,G protein-coupled receptor 35
40596_at,Treacher Collins-Franceschetti syndrome 1
37517_at,KIAA1039 protein
39343_at," Cluster Incl AW026656:wv15c06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-991037 /clone_end=3'' /gb=AW026656 /gi=5880109 /ug=Hs.119523 /len=589'' "
32681_at,"solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)"
31391_at,huntingtin-associated protein 1 (neuroan 1)
38447_at,"adrenergic, beta, receptor kinase 1"
33069_f_at," Cluster Incl U06641:Human UDP glucuronosyltransferase mRNA, partial cds /cds=(0,1571) /gb=U06641 /gi=458398 /ug=Hs.150207 /len=2123 "
40622_r_at,Cluster Incl AL096740:Homo sapiens mRNA; cDNA DKFZp586K2123 (from clone DKFZp586K2123) /cds=UNKNOWN /gb=AL096740 /gi=5419896 /ug=Hs.17639 /len=3766
38901_at,ubiquitin specific protease 19
1827_s_at," M13929 /FEATURE=mRNA /DEFINITION=HUMMYCPOA Human c-myc-P64 mRNA, initiating from promoter P0, (HLmyc2.5) partial cds "
38103_at,trinucleotide repeat containing 15
35956_s_at,pregnancy specific beta-1-glycoprotein 7
632_at,glycogen synthase kinase 3 alpha
33740_at,metaxin 1
33728_at,bassoon (presynaptic cytomatrix protein)
39435_at,Cluster Incl D45333:HUMHG7879 Homo sapiens cDNA /gb=D45333 /gi=1136736 /ug=Hs.132881 /len=1337
34182_at," Cluster Incl U18932:Human heparan sulfate-N-deacetylase/N-sulfotransferase mRNA, clone HSST3, 3''UTR /cds=UNKNOWN /gb=U18932 /gi=976373 /ug=Hs.20894 /len=4799'' "
38308_g_at,neurochondrin
35201_at,heterogeneous nuclear ribonucleoprotein L
38672_at,"protein phosphatase 1, regulatory subunit 10"
32029_at,3-phosphoinositide dependent protein kinase-1
35150_at,"tumor necrosis factor receptor superfamily, member 5"
36459_at,ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)
39459_at,Cluster Incl W28765:51d2 Homo sapiens cDNA /gb=W28765 /gi=1308713 /ug=Hs.173415 /len=695
31317_r_at," Cluster Incl M21388:Human unproductively rearranged Ig mu-chain mRNA V-region (VD), 5 end, clone mu-3A1A /cds=(0,89) /gb=M21388 /gi=185160 /ug=Hs.123017 /len=141'' "
36250_at," Cluster Incl AI889718:wo17c04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2455590 /clone_end=3'' /gb=AI889718 /gi=5594882 /ug=Hs.25357 /len=482'' "
1119_at,replication protein A2 (32kD)
31559_at,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"
39920_r_at,C1q-related factor
38307_at,neurochondrin
38521_at,CD22 antigen
594_s_at,"casein kinase 2, alpha 1 polypeptide"
38829_r_at," Cluster Incl AA628946:af28f05.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1032993 /clone_end=3'' /gb=AA628946 /gi=2541333 /ug=Hs.91142 /len=603'' "
40927_at,Cluster Incl W26324:28h9 Homo sapiens cDNA /gb=W26324 /gi=1307086 /ug=Hs.187958 /len=808
35244_at,KIAA0460 protein
40299_at,G-protein coupled receptor
37082_at,KIAA0426 gene product
38229_at,Cluster Incl X90579:H.sapiens DNA for cyp related pseudogene /cds=UNKNOWN /gb=X90579 /gi=945005 /ug=Hs.166079 /len=1498
38735_at,KIAA0513 gene product
38512_r_at,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)"
40849_s_at,cAMP responsive element binding protein 3 (luman)
36222_at,megakaryocyte-enhanced gene transcript 1 protein
34755_at,ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 2
34093_at," Cluster Incl AI829701:wf09d11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2350101 /clone_end=3'' /gb=AI829701 /gi=5450372 /ug=Hs.207061 /len=669'' "
36332_at,arylalkylamine N-acetyltransferase
36080_at,clock (mouse) homolog
36888_at,KIAA0841 protein
36826_at,"general transcription factor IIF, polypeptide 1 (74kD subunit)"
38297_at,"phosphatidylinositol transfer protein, membrane-associated"
34264_at,nesca protein
34315_at,"AFG3 (ATPase family gene 3, yeast)-like 2"
38269_at,DKFZP586E0820 protein
37898_r_at," Cluster Incl AI985964:wr79d08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2493903 /clone_end=3'' /gb=AI985964 /gi=5813241 /ug=Hs.82961 /len=487'' "
1273_r_at,cell division cycle 34
36957_at,Cluster Incl W22296:65A11 Homo sapiens cDNA /clone=(not-directional) /gb=W22296 /gi=1299129 /ug=Hs.75871 /len=697
38417_at,adenosine monophosphate deaminase 2 (isoform L)
933_f_at,"zinc finger protein 91 (HPF7, HTF10)"
932_i_at,"zinc finger protein 91 (HPF7, HTF10)"
40213_at,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
41280_r_at," Cluster Incl AF007134:Homo sapiens clone 23565 unknown mRNA, partial cds /cds=(0,736) /gb=AF007134 /gi=2852608 /ug=Hs.234249 /len=1480 "
35205_at,DKFZP586B0519 protein
38340_at,huntingtin interacting protein-1-related
33713_at,translocase of inner mitochondrial membrane 17 (yeast) homolog B
266_s_at,CD24 antigen (small cell lung carcinoma cluster 4 antigen)
38763_at,sorbitol dehydrogenase
541_g_at,heat shock 27kD protein 2
41776_at,"ATX1 (antioxidant protein 1, yeast) homolog 1"
34890_at,"ATPase, H+ transporting, lysosomal (vacuolar proton pump), alpha polypeptide, 70kD, isoform 1"
34889_at," Cluster Incl AA056747:zk81f02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-489243 /clone_end=3'' /gb=AA056747 /gi=1549122 /ug=Hs.5119 /len=559'' "
40096_at,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle"
36114_r_at,"troponin T1, skeletal, slow"
32199_at,"protein tyrosine phosphatase, receptor type, O"
34695_at," Cluster Incl AI816724:wj43c06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2405578 /clone_end=3'' /gb=AI816724 /gi=5435803 /ug=Hs.236371 /len=518'' "
41036_at," Cluster Incl AL022314:dJ1170K4.1 (novel protein similar to KIAA0176 and mouse, worm and fly proteins) /cds=(185,1057) /gb=AL022314 /gi=4090209 /ug=Hs.94810 /len=1854 "
39406_at,bone morphogenetic protein 1
31636_s_at,"solute carrier family 18 (vesicular acetylcholine), member 3"
32811_at,myosin IB
39694_at,Cluster Incl W27517:31h6 Homo sapiens cDNA /gb=W27517 /gi=1307321 /ug=Hs.13662 /len=732
37939_at,similar to APOBEC1
35520_at," Cluster Incl AI701514:we35h02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2343123 /clone_end=3'' /gb=AI701514 /gi=4989414 /ug=Hs.127734 /len=764'' "
40223_r_at," Cluster Incl AI677689:wd33c06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2329930 /clone_end=3'' /gb=AI677689 /gi=4887871 /ug=Hs.153121 /len=478'' "
37746_r_at,suppression of tumorigenicity 5
39688_at,"requiem, apoptosis response zinc finger gene"
35473_at,"collagen, type I, alpha 1"
32282_at,Cluster Incl U66047:Human clone Z3-1 placenta expressed mRNA from chromosome X /cds=UNKNOWN /gb=U66047 /gi=1519272 /ug=Hs.172838 /len=3287''
35379_at,"collagen, type IX, alpha 1"
2032_s_at,"integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"
35864_at,acrosin
33268_at,"SMC (mouse) homolog, X chromosome"
970_r_at,"ubiquitin specific protease 9, X chromosome (Drosophila fat facets related)"
1988_at,X76079 /FEATURE=exons#1-4 /DEFINITION=HSPDGF H.sapiens mRNA for platelet derived growth factor alpha receptor
38799_at," Cluster Incl AF068706:Homo sapiens gamma2-adaptin (G2AD) mRNA, complete cds /cds=(763,3018) /gb=AF068706 /gi=3193225 /ug=Hs.8991 /len=3312 "
1067_at,fms-related tyrosine kinase 3 ligand
31396_r_at,Musashi (Drosophila) homolog 1
35339_at," Cluster Incl AI743606:wg51f08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2368647 /clone_end=3'' /gb=AI743606 /gi=5111894 /ug=Hs.5947 /len=742'' "
37687_i_at," Cluster Incl M31932:Human IgG low affinity Fc fragment receptor (FcRIIa) mRNA, complete cds /cds=(7,960) /gb=M31932 /gi=182473 /ug=Hs.78864 /len=2372 "
33580_r_at,glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)
40636_at," Cluster Incl AI807620:wf49b01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2358889 /clone_end=3'' /gb=AI807620 /gi=5394186 /ug=Hs.179986 /len=735'' "
1768_s_at,c-src tyrosine kinase
39168_at,Ac-like transposable element
34215_at,DNA segment on chromosome X and Y (unique) 155 expressed sequence
1706_at,v-raf murine sarcoma 3611 viral oncogene homolog 1
37147_at,stem cell growth factor; lymphocyte secreted C-type lectin
38314_at,KIAA0306 protein
39383_at,adenylate cyclase 6
38649_at,KIAA0970 protein
32129_at,"hypothetical protein, similar to (U06944) PRAJA1"
34379_at,era (E. coli G-protein homolog)-like 1
36822_at,"TATA box binding protein (TBP)-associated factor, RNA polymerase II, N, 68kD (RNA-binding protein 56)"
33860_at,KIAA0462 protein
31637_s_at,"nuclear receptor subfamily 1, group D, member 1"
37449_i_at,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"
37450_r_at,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"
37448_s_at,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"
38312_at,Cluster Incl AL050002:Homo sapiens mRNA; cDNA DKFZp564O222 (from clone DKFZp564O222) /cds=UNKNOWN /gb=AL050002 /gi=4884256 /ug=Hs.94795 /len=1546
32623_at,"gamma-aminobutyric acid (GABA) B receptor, 1"
36892_at,"integrin, alpha 7"
38695_at," Cluster Incl AA203303:zx55b01.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-446377 /clone_end=5'' /gb=AA203303 /gi=1799194 /ug=Hs.10758 /len=876'' "
40016_g_at,KIAA0303 protein
35626_at,N-sulfoglucosamine sulfohydrolase (sulfamidase)
33987_at,ADP-ribosylation factor 1
38612_at,Cluster Incl M69023:Human globin gene /cds=UNKNOWN /gb=M69023 /gi=183127 /ug=Hs.100090 /len=1119
1826_at,"ras homolog gene family, member B"
38230_at,endothelial PAS domain protein 1
34166_at,"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7"
33989_f_at,Cluster Incl W28869:53h2 Homo sapiens cDNA /gb=W28869 /gi=1308880 /ug=Hs.74637 /len=975
33988_at,testis enhanced gene transcript (BAX inhibitor 1)
39340_at,hexosaminidase A (alpha polypeptide)
39689_at," Cluster Incl AI362017:qy39a10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2014362 /clone_end=3'' /gb=AI362017 /gi=4113638 /ug=Hs.135084 /len=778'' "
36151_at,similar to vaccinia virus HindIII K4L ORF
33875_at," Cluster Incl AI547262:PN001_AH_H03.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI547262 /gi=4464750 /ug=Hs.24322 /len=884'' "
39165_at,nitrogen fixation cluster-like
41300_s_at," Cluster Incl AA477898:zu34f08.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-739911 /clone_end=5'' /gb=AA477898 /gi=2206532 /ug=Hs.239414 /len=449'' "
39709_at,"selenoprotein W, 1"
38376_at,"acyl-Coenzyme A dehydrogenase, very long chain"
40817_at,nucleobindin 1
38686_at,"ATPase, H+ transporting, lysosomal (vacuolar proton pump), member D"
1707_g_at,v-raf murine sarcoma 3611 viral oncogene homolog 1
34294_at," Cluster Incl AL041493:DKFZp434F2117_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434F2117 /clone_end=3'' /gb=AL041493 /gi=5420844 /ug=Hs.23131 /len=537'' "
912_s_at,"phospholipase A2, group IB (pancreas)"
35829_at,Cluster Incl AL080181:Homo sapiens mRNA; cDNA DKFZp434O111 (from clone DKFZp434O111) /cds=UNKNOWN /gb=AL080181 /gi=5262657 /ug=Hs.70337 /len=1383
37929_at,"immunoglobulin superfamily, member 4"
36965_at,"ankyrin 3, node of Ranvier (ankyrin G)"
34445_at,KIAA0471 gene product
40508_at,glutathione S-transferase A4
38966_at,"glycoprotein, synaptic 2"
35154_at," Cluster Incl W68046:zd42a12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-343294 /clone_end=3'' /gb=W68046 /gi=1376935 /ug=Hs.25817 /len=575'' "
41291_at,hypothetical protein R32184_1
36650_at,cyclin D2
38996_at,Ets2 repressor factor
35454_at,KIAA0450 gene product
36683_at," Cluster Incl AI953789:wx69d10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2548915 /clone_end=3'' /gb=AI953789 /gi=5746099 /ug=Hs.75742 /len=813'' "
